,doi,pmid,text,link,label1
10,10.3889/oamjms.2018.038,29484020,"Go to:AbstractThe authors show a brief overview of the vitiligo’s unconventional therapies. A part for well-documented effectiveness of L-phenylalanine, PGE2 and antioxidant agents in the treatment of vitiligo, for the other therapeutical approaches more investigations are needed.Keywords: vitiligo, oxidative stress, melanocytes stimulation, repigmentation, uncommon therapies, efficacy, safe-profile",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5816295/,abstract
11,10.1186/s13023-018-0993-1,30700313,"Go to:AbstractBackgroundNewborn screening programs are essential preventative public health initiatives but are not widely available in low-resource settings. The objective of this study was to describe the frequency and nature of screen positive determinations as made by a Canadian newborn screening program in a cohort of infants born in Matlab, Bangladesh. Dried newborn cord and heel-prick blood spot samples collected as part of a validation study nested within a preterm birth research cohort were collected between January 2017 and July 2018 and analyzed in a Canadian newborn screening laboratory where the laboratory’s disease panel and screening thresholds were applied.ResultsA total of 1661 newborn samples (520 heel-prick and 1141 cord blood samples) were available for analysis. Based on the applied screening thresholds, 61 samples (22 by heel-prick and 39 by cord blood) were screen positive for conditions included in the Canadian disease panel. Congenital hypothyroidism was the most common determination for heel-prick (n = 17) and cord blood (n = 12) samples. Carriers of hemoglobinopathy variants were identified in 6.9% of both tested heel-prick and cord blood samples.ConclusionsThis study provides insight into the nature and frequency of treatable congenital conditions in a rural Bangladesh community where such data were previously unavailable. As comment to the feasibility of newborn screening in the region we confirm that screening based on cord blood sampling continues to be the most acceptable modality to parents in such settings. Acknowledged barriers include early infant discharge, which may affect the reliability of initial screening thresholds to determine disease risk. We further highlight the importance of continuing efforts in the country to identify infants with congenital hypothyroidism.Electronic supplementary materialThe online version of this article (10.1186/s13023-018-0993-1) contains supplementary material, which is available to authorized users.Keywords: Newborn screening, Congenital hypothyroidism, Hemoglobin disorders, Congenital disorders",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6354381/,abstract
12,10.1155/2018/3235072,30154849,"Go to:AbstractHypertension or high blood pressure is a harbinger of cardiovascular diseases. There are several classes of drugs used to treat hypertension. This review discusses the use of dried blood spots (DBSs) for the quantification by mass spectrometry (MS), tandem mass spectrometry (MS/MS), or, in some cases, by fluorescence detection methods the following antihypertensive medications: angiotensin-converting enzyme inhibitors (ramipril, ramiprilat, captopril, and lisinopril); angiotensin II receptor antagonists (valsartan, irbesartan, losartan, and losartan carboxylic acid); calcium channel blockers (verapamil, amlodipine, nifedipine, pregabalin, and diltiazem); α blockers (guanfacine, doxazosin, and prazosin); β blockers (propranolol, bisoprolol, atenolol, and metoprolol); endothelin receptor antagonists (bosentan and ambrisentan); and statins (simvastatin, atorvastatin, and rosuvastatin).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6093062/,abstract
13,10.3390/molecules201119658,26540034,"Go to:AbstractSince its discovery, the Phe-Phe motif has gained in popularity as a minimalist building block to drive the self-assembly of short peptides and their analogues into nanostructures and hydrogels. Molecules based on the Phe-Phe motif have found a range of applications in nanomedicine, from drug delivery and biomaterials to new therapeutic paradigms. Here we discuss the various production methods for this class of compounds, and the characterization, nanomorphologies, and application of their self-assembled nanostructures. We include the most recent findings on their remarkable properties, which hold substantial promise for the creation of the next generation nanomedicines.Keywords: diphenylalanine, self-assembly, hydrogels, peptides, nanostructures",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6332413/,abstract
14,10.1177/1559325818811756,30574028,"Go to:AbstractThe biological consequences of mechanical whole body vibration (WBV) on the brain are not well documented. The aim of the current study was to further investigate the effects of a 5-week WBV intervention on brain functions. Mice (C57Bl/6J males, age 15 weeks) were exposed to 30 Hz WBV sessions (10 minutes per day, 5 days per week, for a period of 5 weeks; n = 10). Controls received the same intervention without the actual vibration (n = 10). Humans (both genders, age ranging from 44-99 years) were also exposed to daily sessions of 30 Hz WBV (4 minutes per day, 4 days per week, for a period of 5 weeks; n = 18). Controls received the same protocol using a 1 Hz protocol (n = 16). Positron emission tomography imaging was performed in the mice, and revealed that glucose uptake was not changed as a consequence of the 5-week WBV intervention. Whole body vibration did, however, improve motor performance and reduced arousal-induced home cage activity. Cognitive tests in humans revealed a selective improvement in the Stroop Color-Word test. Taken together, it is concluded that WBV is a safe intervention to improve brain functioning, although the subtle effects suggest that the protocol is as yet suboptimal.Keywords: motor performance, brain glucose metabolism, behavioral arousal, executive functions",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6299320/,abstract
15,10.7554/eLife.12814,26744778,"Go to:AbstractMany driver mutations in cancer are specific in that they occur at significantly higher rates than – presumably – functionally alternative mutations. For example, V600E in the BRAF hydrophobic activation segment (AS) pocket accounts for >95% of all kinase mutations. While many hypotheses tried to explain such significant mutation patterns, conclusive explanations are lacking. Here, we use experimental and in silico structure-energy statistical analyses, to elucidate why the V600E mutation, but no other mutation at this, or any other positions in BRAF’s hydrophobic pocket, is predominant. We find that BRAF mutation frequencies depend on the equilibrium between the destabilization of the hydrophobic pocket, the overall folding energy, the activation of the kinase and the number of bases required to change the corresponding amino acid. Using a random forest classifier, we quantitatively dissected the parameters contributing to BRAF AS cancer frequencies. These findings can be applied to genome-wide association studies and prediction models.DOI:
http://dx.doi.org/10.7554/eLife.12814.001Research Organism: Human",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4749552/,abstract
16,10.1128/mSystems.00031-18,29795809,"Go to:ABSTRACTAlthough much work has linked the human microbiome to specific phenotypes and lifestyle variables, data from different projects have been challenging to integrate and the extent of microbial and molecular diversity in human stool remains unknown. Using standardized protocols from the Earth Microbiome Project and sample contributions from over 10,000 citizen-scientists, together with an open research network, we compare human microbiome specimens primarily from the United States, United Kingdom, and Australia to one another and to environmental samples. Our results show an unexpected range of beta-diversity in human stool microbiomes compared to environmental samples; demonstrate the utility of procedures for removing the effects of overgrowth during room-temperature shipping for revealing phenotype correlations; uncover new molecules and kinds of molecular communities in the human stool metabolome; and examine emergent associations among the microbiome, metabolome, and the diversity of plants that are consumed (rather than relying on reductive categorical variables such as veganism, which have little or no explanatory power). We also demonstrate the utility of the living data resource and cross-cohort comparison to confirm existing associations between the microbiome and psychiatric illness and to reveal the extent of microbiome change within one individual during surgery, providing a paradigm for open microbiome research and education.IMPORTANCE We show that a citizen science, self-selected cohort shipping samples through the mail at room temperature recaptures many known microbiome results from clinically collected cohorts and reveals new ones. Of particular interest is integrating n = 1 study data with the population data, showing that the extent of microbiome change after events such as surgery can exceed differences between distinct environmental biomes, and the effect of diverse plants in the diet, which we confirm with untargeted metabolomics on hundreds of samples.KEYWORDS: citizen science, microbiome",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5954204/,abstract
17,10.14744/nci.2018.59862,31297488,"Go to:AbstractMirror movements occur in early childhood due to the maturation of the corpus callosum of noncrossing motor pathways. Such movements are considered normal until the age of 10 and are rarely reported in children older than 10 years. Mirror movements are involuntary movements that occur in the homologous contralateral extremity on voluntary activation. Permanent mirror movements can occur with anomalies; however, also are reported familial and sporadic cases. Migraine is the most common primary headache in childhood. Its prevalence ranges from 1% to 3% between the ages of 3 and 7, and from 8% to 23% in the adolescence. The prevalence of migraine in adolescent girls is higher. For the migraine diagnosis, the imaging studies are unnecessary, and a detailed history and physical examination are sufficient. In this study, we present a case of a 17-year-old girl with mirror movements accompanied by migraine.Keywords: Child, migraine, mirror movements",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6593911/,abstract
18,10.1007/s10900-015-0094-1,26433724,"Go to:AbstractOld order Amish and Mennonites, or Plain populations, are a growing minority in North America with unique health care delivery and access challenges coupled with higher frequencies of genetic disorders. The objective of this study was to determine newborn screening use and attitudes from western Wisconsin Plain communities. A cross-sectional survey, with an overall response rate of 25%, provided data representing 2,010 children. In households with children (n=297), the rate of newborn screening was 74% and all children were screened in 40% of these households. Lack of access to testing was the most common reason for not screening all children and parental age was inversely associated with testing. The majority of respondents reported some or more knowledge of screening, viewed screening as important, and had access to screening in their communities. Households with children who had never received newborn screening (26%) reported lower frequencies of favorable responses in all categories compared to households that had at least one child screened. The difference in access to newborn screening was less marked between the groups compared to differences on knowledge and consideration of its importance. Moreover, 55% of households who had never screened any of their children reported being unlikely or unsure of screening any future children. A focus on improving access to newborn screening alongside establishing approaches to change parental perceptions on the importance of newborn screening is necessary for increasing newborn screening in these Plain communities.Keywords: Newborn screening, Genetic disorders, Preventive health, Amish, Mennonite",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4779392/,abstract
19,10.1038/s41598-017-06033-1,28720891,"Go to:AbstractAutism spectrum disorder (ASD) is a complex neurodevelopmental disorder with genetic and clinical heterogeneity. The interplay of de novo and inherited rare variants has been suspected in the development of ASD. Here, we applied whole exome sequencing (WES) on 19 trios from singleton Saudi families with ASD. We developed an analysis pipeline that allows capturing both de novo and inherited rare variants predicted to be deleterious. A total of 47 unique rare variants were detected in 17 trios including 38 which are newly discovered. The majority were either autosomal recessive or X-linked. Our pipeline uncovered variants in 15 ASD-candidate genes, including 5 (GLT8D1, HTATSF1, OR6C65, ITIH6 and DDX26B) that have not been reported in any human condition. The remaining variants occurred in genes formerly associated with ASD or other neurological disorders. Examples include SUMF1, KDM5B and MXRA5 (Known-ASD genes), PRODH2 and KCTD21 (implicated in schizophrenia), as well as USP9X and SMS (implicated in intellectual disability). Consistent with expectation and previous studies, most of the genes implicated herein are enriched for biological processes pertaining to neuronal function. Our findings underscore the private and heterogeneous nature of the genetic architecture of ASD even in a population with high consanguinity rates.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515956/,abstract
20,10.3390/metabo9040076,31003499,"Go to:AbstractThe use of multiple omics techniques (i.e., genomics, transcriptomics, proteomics, and metabolomics) is becoming increasingly popular in all facets of life science. Omics techniques provide a more holistic molecular perspective of studied biological systems compared to traditional approaches. However, due to their inherent data differences, integrating multiple omics platforms remains an ongoing challenge for many researchers. As metabolites represent the downstream products of multiple interactions between genes, transcripts, and proteins, metabolomics, the tools and approaches routinely used in this field could assist with the integration of these complex multi-omics data sets. The question is, how? Here we provide some answers (in terms of methods, software tools and databases) along with a variety of recommendations and a list of continuing challenges as identified during a peer session on multi-omics integration that was held at the recent ‘Australian and New Zealand Metabolomics Conference’ (ANZMET 2018) in Auckland, New Zealand (Sept. 2018). We envisage that this document will serve as a guide to metabolomics researchers and other members of the community wishing to perform multi-omics studies. We also believe that these ideas may allow the full promise of integrated multi-omics research and, ultimately, of systems biology to be realized.Keywords: mathematical modeling, data analysis, data integration, experimental design, quantitative omics, databases, translational metabolomics, pathway analysis, metabolic networks",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6523452/,abstract
21,10.1126/sciadv.1500137,26601224,"Go to:AbstractThe accumulation of amyloid fibrils is the hallmark of several major human diseases. Although the formation of these supramolecular entities has previously been associated with proteins and peptides, it was later demonstrated that even phenylalanine, a single amino acid, can form fibrils that have amyloid-like biophysical, biochemical, and cytotoxic properties. Moreover, the generation of antibodies against these assemblies in phenylketonuria patients and the correlating mice model suggested a pathological role for the assemblies. We determine that several other metabolites that accumulate in metabolic disorders form ordered amyloid-like ultrastructures, which induce apoptotic cell death, as observed for amyloid structures. The formation of amyloid-like assemblies by metabolites implies a general phenomenon of amyloid formation, not limited to proteins and peptides, and offers a new paradigm for metabolic diseases.Keywords: Amyloid Formation, self-assembly, Metabolic disorders, molecular recognition, Amyloid hypothesis, Nano-assemblies, nanotechnology, Nanoscience",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4643800/,abstract
22,10.1007/s11306-019-1531-4,31037385,"Go to:AbstractObjectiveNitisinone induced hypertyrosinaemia is a concern in patients with Alkaptonuria (AKU). It has been suggested that this may alter neurotransmitter metabolism, specifically dopamine and serotonin. Herein mass spectrometry imaging (MSI) is used for the direct measurement of 2,4-diphenyl-pyranylium tetrafluoroborate (DPP-TFB) derivatives of monoamine neurotransmitters in brain tissue from a murine model of AKU following treatment with nitisinone.MethodsMetabolite changes were assessed using MSI on DPP-TFB derivatised fresh frozen tissue sections directing analysis towards primary amine neurotransmitters. Matched tail bleed plasma samples were analysed using LC-MS/MS. Eighteen BALB/c mice were included in this study: HGD−/− (n = 6, treated with nitisinone – 4 mg/L, in drinking water); HGD−/− (n = 6, no treatment) and HGD+/− (n = 6, no treatment).ResultsIon intensity and distribution of DPP-TFB derivatives in brain tissue for dopamine, 3-methoxytyramine, noradrenaline, tryptophan, serotonin, and glutamate were not significantly different following treatment with nitisinone in HGD−/− mice, and no significant differences were observed between HGD−/− and HGD+/− mice that received no treatment. Tyrosine (10-fold in both comparisons, p = 0.003; [BALB/c HGD−/− (n = 6) and BALB/c HGD+/− (n = 6) (no treatment) vs. BALB/c HGD−/− (n = 6, treated)] and tyramine (25-fold, p = 0.02; 32-fold, p = 0.02) increased significantly following treatment with nitisinone. Plasma tyrosine and homogentisic acid increased (9-fold, p = < 0.0001) and decreased (9-fold, p = 0.004), respectively in HGD−/− mice treated with nitisinone.ConclusionsMonoamine neurotransmitters in brain tissue from a murine model of AKU did not change following treatment with nitisinone. These findings have significant implications for patients with AKU as they suggest monoamine neurotransmitters are not altered following treatment with nitisinone.Keywords: Alkaptonuria, Neurotransmitter, Imaging, Mass spectrometry, Dopamine, Serotonin, Tyrosine, Tyramine, Tryptophan",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6488549/,abstract
24,10.1093/hmg/ddw091,27005423,"Go to:AbstractClassic galactosemia is a potentially lethal disease caused by the dysfunction of galactose 1-phosphate uridylyltransferase (GALT). Over 300 disease-associated GALT mutations have been reported, with the majority being missense changes, although a better understanding of their underlying molecular effects has been hindered by the lack of structural information for the human enzyme. Here, we present the 1.9 Å resolution crystal structure of human GALT (hGALT) ternary complex, revealing a homodimer arrangement that contains a covalent uridylylated intermediate and glucose-1-phosphate in the active site, as well as a structural zinc-binding site, per monomer. hGALT reveals significant structural differences from bacterial GALT homologues in metal ligation and dimer interactions, and therefore is a zbetter model for understanding the molecular consequences of disease mutations. Both uridylylation and zinc binding influence the stability and aggregation tendency of hGALT. This has implications for disease-associated variants where p.Gln188Arg, the most commonly detected, increases the rate of aggregation in the absence of zinc likely due to its reduced ability to form the uridylylated intermediate. As such our structure serves as a template in the future design of pharmacological chaperone therapies and opens new concepts about the roles of metal binding and activity in protein misfolding by disease-associated mutants.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5081055/,abstract
